Airfoil_Name,Camber,Camber_Location,Thickness,Thickness_Location,Reynolds_Number,Alpha,Cl,Cd,L_over_D
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,0.5,0.2831,0.1239,2.284907183212268
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,1.0,0.283,0.12615,2.2433610780816484
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,1.5,0.283,0.12819,2.2076605039394646
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,2.5,0.2829,0.13231,2.1381603809235883
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,3.0,0.283,0.1341,2.1103653989560027
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,4.0,0.2824,0.13827,2.0423808490634263
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,4.5,0.2822,0.13996,2.016290368676765
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,5.5,0.2812,0.14403,1.9523710338124003
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,6.0,0.2808,0.14571,1.9271155033971585
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,7.0,0.2795,0.14948,1.8698153599143699
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,7.5,0.2788,0.1513,1.8426966292134832
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,8.0,0.2782,0.15276,1.821157371039539
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,8.5,0.2773,0.15442,1.7957518456158528
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,9.0,0.2763,0.15645,1.7660594439117927
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,9.5,0.2753,0.15805,1.7418538437203417
30p-30n-flap,0.015394,1.002,0.044157,0.926,500000,10.0,0.2744,0.15933,1.7222117617523378
a18,0.038406,0.451,0.073519,0.299,500000,0.0,0.6029,0.00595,101.32773109243696
a18,0.038406,0.451,0.073519,0.299,500000,0.5,0.658,0.00621,105.95813204508856
a18,0.038406,0.451,0.073519,0.299,500000,1.0,0.7129,0.00652,109.34049079754601
a18,0.038406,0.451,0.073519,0.299,500000,1.5,0.7674,0.00686,111.865889212828
a18,0.038406,0.451,0.073519,0.299,500000,2.0,0.8209,0.0073,112.45205479452054
a18,0.038406,0.451,0.073519,0.299,500000,2.5,0.8732,0.00788,110.81218274111676
a18,0.038406,0.451,0.073519,0.299,500000,3.0,0.9254,0.00849,108.99882214369848
a18,0.038406,0.451,0.073519,0.299,500000,3.5,0.9726,0.00969,100.37151702786377
a18,0.038406,0.451,0.073519,0.299,500000,4.0,1.0162,0.01152,88.21180555555554
a18,0.038406,0.451,0.073519,0.299,500000,4.5,1.0635,0.01282,82.9563182527301
a18,0.038406,0.451,0.073519,0.299,500000,5.0,1.1056,0.01483,74.5515846257586
a18,0.038406,0.451,0.073519,0.299,500000,5.5,1.1468,0.01693,67.73774365032487
a18,0.038406,0.451,0.073519,0.299,500000,6.0,1.1889,0.01867,63.679700053561874
a18,0.038406,0.451,0.073519,0.299,500000,6.5,1.227,0.02099,58.456407813244404
a18,0.038406,0.451,0.073519,0.299,500000,7.0,1.2645,0.02352,53.76275510204081
a18,0.038406,0.451,0.073519,0.299,500000,7.5,1.2982,0.02713,47.851087357169185
a18,0.038406,0.451,0.073519,0.299,500000,8.0,1.3288,0.03289,40.40133779264214
a18,0.038406,0.451,0.073519,0.299,500000,8.5,1.3524,0.03826,35.34762153685311
a18,0.038406,0.451,0.073519,0.299,500000,9.0,1.2823,0.03248,39.479679802955665
a18sm,0.038395,0.493,0.07283,0.271,500000,0.0,0.5075,0.00654,77.59938837920488
a18sm,0.038395,0.493,0.07283,0.271,500000,0.5,0.5558,0.0057,97.50877192982455
a18sm,0.038395,0.493,0.07283,0.271,500000,1.0,0.6112,0.00587,104.12265758091992
a18sm,0.038395,0.493,0.07283,0.271,500000,1.5,0.6656,0.00612,108.75816993464052
a18sm,0.038395,0.493,0.07283,0.271,500000,2.0,0.7189,0.00648,110.94135802469137
a18sm,0.038395,0.493,0.07283,0.271,500000,2.5,0.7732,0.00683,113.20644216691069
a18sm,0.038395,0.493,0.07283,0.271,500000,3.0,0.8272,0.00722,114.57063711911358
a18sm,0.038395,0.493,0.07283,0.271,500000,3.5,0.8802,0.00768,114.609375
a18sm,0.038395,0.493,0.07283,0.271,500000,4.0,0.9318,0.00828,112.53623188405798
a18sm,0.038395,0.493,0.07283,0.271,500000,4.5,0.981,0.00917,106.97928026172302
a18sm,0.038395,0.493,0.07283,0.271,500000,5.5,1.0677,0.0127,84.0708661417323
a18sm,0.038395,0.493,0.07283,0.271,500000,6.0,1.1121,0.0143,77.76923076923077
a18sm,0.038395,0.493,0.07283,0.271,500000,6.5,1.1556,0.01596,72.40601503759399
a18sm,0.038395,0.493,0.07283,0.271,500000,7.0,1.201,0.01723,69.70400464306444
a18sm,0.038395,0.493,0.07283,0.271,500000,7.5,1.2343,0.01994,61.90070210631896
a18sm,0.038395,0.493,0.07283,0.271,500000,8.0,1.2768,0.02139,59.691444600280505
a18sm,0.038395,0.493,0.07283,0.271,500000,8.5,1.3142,0.02353,55.85210369740757
a18sm,0.038395,0.493,0.07283,0.271,500000,9.0,1.3479,0.02624,51.368140243902445
a18sm,0.038395,0.493,0.07283,0.271,500000,9.5,1.3764,0.03063,44.93633692458374
a18sm,0.038395,0.493,0.07283,0.271,500000,10.0,1.4042,0.03396,41.34864546525324
a63a108c,0.003869,0.15,0.077351,0.3,500000,0.0,-0.0075,0.00565,-1.3274336283185841
a63a108c,0.003869,0.15,0.077351,0.3,500000,0.5,0.0613,0.00547,11.206581352833638
a63a108c,0.003869,0.15,0.077351,0.3,500000,1.0,0.1153,0.0055,20.963636363636365
a63a108c,0.003869,0.15,0.077351,0.3,500000,1.5,0.1698,0.00567,29.94708994708995
a63a108c,0.003869,0.15,0.077351,0.3,500000,2.0,0.225,0.00617,36.46677471636953
a63a108c,0.003869,0.15,0.077351,0.3,500000,2.5,0.2815,0.00727,38.72077028885832
a63a108c,0.003869,0.15,0.077351,0.3,500000,3.0,0.3389,0.00823,41.17861482381531
a63a108c,0.003869,0.15,0.077351,0.3,500000,3.5,0.3963,0.00896,44.229910714285715
a63a108c,0.003869,0.15,0.077351,0.3,500000,4.0,0.4537,0.00961,47.211238293444325
a63a108c,0.003869,0.15,0.077351,0.3,500000,4.5,0.5109,0.01028,49.69844357976654
a63a108c,0.003869,0.15,0.077351,0.3,500000,5.0,0.5678,0.01102,51.52450090744101
a63a108c,0.003869,0.15,0.077351,0.3,500000,5.5,0.6243,0.01179,52.95165394402035
a63a108c,0.003869,0.15,0.077351,0.3,500000,6.0,0.6804,0.01263,53.87173396674584
a63a108c,0.003869,0.15,0.077351,0.3,500000,6.5,0.7358,0.01363,53.98385913426266
a63a108c,0.003869,0.15,0.077351,0.3,500000,7.0,0.7904,0.01471,53.73215499660095
a63a108c,0.003869,0.15,0.077351,0.3,500000,7.5,0.8439,0.01603,52.645040548970684
a63a108c,0.003869,0.15,0.077351,0.3,500000,8.0,0.8959,0.01765,50.75920679886686
a63a108c,0.003869,0.15,0.077351,0.3,500000,8.5,0.9478,0.01918,49.416058394160586
a63a108c,0.003869,0.15,0.077351,0.3,500000,9.0,0.997,0.02126,46.895578551269985
a63a108c,0.003869,0.15,0.077351,0.3,500000,9.5,1.0446,0.02356,44.33786078098472
a63a108c,0.003869,0.15,0.077351,0.3,500000,10.0,1.0889,0.02627,41.450323562999614
ag03,0.020084,0.327,0.062376,0.25,500000,0.0,0.2135,0.00487,43.83983572895277
ag03,0.020084,0.327,0.062376,0.25,500000,0.5,0.2654,0.00512,51.8359375
ag03,0.020084,0.327,0.062376,0.25,500000,1.0,0.3183,0.00543,58.61878453038675
ag03,0.020084,0.327,0.062376,0.25,500000,1.5,0.3716,0.00577,64.40207972270363
ag03,0.020084,0.327,0.062376,0.25,500000,2.0,0.4253,0.00616,69.0422077922078
ag03,0.020084,0.327,0.062376,0.25,500000,2.5,0.479,0.00659,72.68588770864946
ag03,0.020084,0.327,0.062376,0.25,500000,3.0,0.5327,0.00709,75.13399153737657
ag03,0.020084,0.327,0.062376,0.25,500000,3.5,0.5863,0.00764,76.74083769633508
ag03,0.020084,0.327,0.062376,0.25,500000,4.0,0.64,0.00822,77.85888077858881
ag03,0.020084,0.327,0.062376,0.25,500000,4.5,0.6934,0.00885,78.35028248587571
ag03,0.020084,0.327,0.062376,0.25,500000,5.0,0.7468,0.0095,78.61052631578947
ag03,0.020084,0.327,0.062376,0.25,500000,5.5,0.7995,0.01026,77.92397660818713
ag03,0.020084,0.327,0.062376,0.25,500000,6.0,0.8517,0.01113,76.52291105121294
ag03,0.020084,0.327,0.062376,0.25,500000,6.5,0.9034,0.01209,74.72291149710504
ag03,0.020084,0.327,0.062376,0.25,500000,7.0,0.9541,0.01324,72.0619335347432
ag03,0.020084,0.327,0.062376,0.25,500000,7.5,1.0045,0.01438,69.85396383866481
ag03,0.020084,0.327,0.062376,0.25,500000,8.0,1.0534,0.01575,66.88253968253967
ag03,0.020084,0.327,0.062376,0.25,500000,8.5,1.1,0.01747,62.965082999427594
ag03,0.020084,0.327,0.062376,0.25,500000,9.0,1.1439,0.01957,58.45171180378129
ag03,0.020084,0.327,0.062376,0.25,500000,9.5,1.1862,0.02171,54.63841547673883
ag03,0.020084,0.327,0.062376,0.25,500000,10.0,1.2259,0.02402,51.03663613655287
ag04,0.017523,0.394,0.064235,0.225,500000,0.0,0.1946,0.00478,40.7112970711297
ag04,0.017523,0.394,0.064235,0.225,500000,0.5,0.2467,0.00505,48.851485148514854
ag04,0.017523,0.394,0.064235,0.225,500000,1.0,0.3,0.00538,55.76208178438661
ag04,0.017523,0.394,0.064235,0.225,500000,1.5,0.354,0.00574,61.67247386759581
ag04,0.017523,0.394,0.064235,0.225,500000,2.0,0.4082,0.00614,66.48208469055375
ag04,0.017523,0.394,0.064235,0.225,500000,2.5,0.4626,0.00659,70.19726858877087
ag04,0.017523,0.394,0.064235,0.225,500000,3.0,0.517,0.0071,72.8169014084507
ag04,0.017523,0.394,0.064235,0.225,500000,3.5,0.5713,0.00766,74.58224543080941
ag04,0.017523,0.394,0.064235,0.225,500000,4.0,0.6256,0.00824,75.92233009708738
ag04,0.017523,0.394,0.064235,0.225,500000,4.5,0.6796,0.00887,76.61781285231116
ag04,0.017523,0.394,0.064235,0.225,500000,5.0,0.7334,0.00956,76.71548117154812
ag04,0.017523,0.394,0.064235,0.225,500000,5.5,0.7866,0.01036,75.92664092664093
ag04,0.017523,0.394,0.064235,0.225,500000,6.0,0.8392,0.01131,74.1998231653404
ag04,0.017523,0.394,0.064235,0.225,500000,6.5,0.8909,0.01245,71.55823293172692
ag04,0.017523,0.394,0.064235,0.225,500000,7.0,0.9412,0.01394,67.51793400286945
ag04,0.017523,0.394,0.064235,0.225,500000,7.5,0.9905,0.01554,63.73873873873874
ag04,0.017523,0.394,0.064235,0.225,500000,8.0,1.0342,0.01838,56.267682263329704
ag04,0.017523,0.394,0.064235,0.225,500000,8.5,1.0789,0.02085,51.745803357314145
ag04,0.017523,0.394,0.064235,0.225,500000,9.0,1.1204,0.02351,47.656316461080394
ag04,0.017523,0.394,0.064235,0.225,500000,9.5,1.1467,0.02937,39.04324140279196
ag04,0.017523,0.394,0.064235,0.225,500000,10.0,1.1699,0.03461,33.80236925744004
ag08,0.018027,0.395,0.058303,0.204,500000,0.0,0.2064,0.00459,44.967320261437905
ag08,0.018027,0.395,0.058303,0.204,500000,0.5,0.2566,0.00479,53.569937369519835
ag08,0.018027,0.395,0.058303,0.204,500000,1.0,0.3079,0.00515,59.786407766990294
ag08,0.018027,0.395,0.058303,0.204,500000,1.5,0.3606,0.0056,64.39285714285714
ag08,0.018027,0.395,0.058303,0.204,500000,2.0,0.414,0.00612,67.64705882352942
ag08,0.018027,0.395,0.058303,0.204,500000,2.5,0.4679,0.00667,70.14992503748125
ag08,0.018027,0.395,0.058303,0.204,500000,3.0,0.5221,0.00722,72.31301939058172
ag08,0.018027,0.395,0.058303,0.204,500000,3.5,0.5764,0.00778,74.08740359897173
ag08,0.018027,0.395,0.058303,0.204,500000,4.0,0.6307,0.00834,75.62350119904077
ag08,0.018027,0.395,0.058303,0.204,500000,4.5,0.6847,0.00898,76.24721603563474
ag08,0.018027,0.395,0.058303,0.204,500000,5.5,0.7908,0.01067,74.11433926897844
ag08,0.018027,0.395,0.058303,0.204,500000,6.0,0.8425,0.01186,71.0370994940978
ag08,0.018027,0.395,0.058303,0.204,500000,6.5,0.8932,0.01343,66.5078183172003
ag08,0.018027,0.395,0.058303,0.204,500000,7.0,0.9415,0.01559,60.39127645926877
ag08,0.018027,0.395,0.058303,0.204,500000,7.5,0.989,0.01759,56.22512791358726
ag08,0.018027,0.395,0.058303,0.204,500000,8.0,1.0297,0.02155,47.78190255220418
ag08,0.018027,0.395,0.058303,0.204,500000,8.5,1.0711,0.02523,42.4534284581847
ag08,0.018027,0.395,0.058303,0.204,500000,9.0,1.1017,0.03122,35.288276745675844
ag08,0.018027,0.395,0.058303,0.204,500000,9.5,1.1082,0.04067,27.24858618146054
ag08,0.018027,0.395,0.058303,0.204,500000,10.0,1.0853,0.05134,21.13946240747955
ag09,0.018586,0.328,0.048634,0.174,500000,0.0,0.1897,0.00448,42.34375000000001
ag09,0.018586,0.328,0.048634,0.174,500000,0.5,0.2392,0.00471,50.78556263269639
ag09,0.018586,0.328,0.048634,0.174,500000,1.0,0.2902,0.00511,56.79060665362036
ag09,0.018586,0.328,0.048634,0.174,500000,1.5,0.3433,0.0056,61.30357142857143
ag09,0.018586,0.328,0.048634,0.174,500000,2.0,0.3973,0.00615,64.60162601626016
ag09,0.018586,0.328,0.048634,0.174,500000,2.5,0.4518,0.00672,67.23214285714285
ag09,0.018586,0.328,0.048634,0.174,500000,3.0,0.5066,0.00729,69.49245541838135
ag09,0.018586,0.328,0.048634,0.174,500000,3.5,0.5614,0.00785,71.51592356687898
ag09,0.018586,0.328,0.048634,0.174,500000,4.0,0.6162,0.00843,73.09608540925267
ag09,0.018586,0.328,0.048634,0.174,500000,4.5,0.6707,0.00906,74.02869757174392
ag09,0.018586,0.328,0.048634,0.174,500000,5.0,0.7249,0.00978,74.12065439672801
ag09,0.018586,0.328,0.048634,0.174,500000,5.5,0.7781,0.01074,72.4487895716946
ag09,0.018586,0.328,0.048634,0.174,500000,6.0,0.8299,0.01229,67.52644426362896
ag09,0.018586,0.328,0.048634,0.174,500000,6.5,0.8803,0.01441,61.08952116585704
ag09,0.018586,0.328,0.048634,0.174,500000,7.0,0.93,0.01646,56.500607533414346
ag09,0.018586,0.328,0.048634,0.174,500000,7.5,0.977,0.01927,50.70057083549559
ag09,0.018586,0.328,0.048634,0.174,500000,8.0,1.0225,0.02205,46.3718820861678
ag09,0.018586,0.328,0.048634,0.174,500000,8.5,1.0584,0.02789,37.94908569379706
ag09,0.018586,0.328,0.048634,0.174,500000,9.0,1.0822,0.03569,30.32221910899412
ag09,0.018586,0.328,0.048634,0.174,500000,9.5,1.0957,0.04329,25.31069531069531
ag10,0.016582,0.326,0.047272,0.16,500000,0.0,0.1578,0.00453,34.83443708609271
ag10,0.016582,0.326,0.047272,0.16,500000,0.5,0.225,0.00465,48.38709677419355
ag10,0.016582,0.326,0.047272,0.16,500000,1.0,0.2722,0.00522,52.145593869731805
ag10,0.016582,0.326,0.047272,0.16,500000,1.5,0.3248,0.006,54.133333333333326
ag10,0.016582,0.326,0.047272,0.16,500000,2.0,0.3796,0.00667,56.91154422788606
ag10,0.016582,0.326,0.047272,0.16,500000,2.5,0.4352,0.00721,60.36061026352288
ag10,0.016582,0.326,0.047272,0.16,500000,3.0,0.491,0.0077,63.76623376623376
ag10,0.016582,0.326,0.047272,0.16,500000,3.5,0.5466,0.00822,66.4963503649635
ag10,0.016582,0.326,0.047272,0.16,500000,4.0,0.602,0.00879,68.48691695108077
ag10,0.016582,0.326,0.047272,0.16,500000,4.5,0.657,0.00947,69.37697993664203
ag10,0.016582,0.326,0.047272,0.16,500000,5.0,0.7118,0.0102,69.7843137254902
ag10,0.016582,0.326,0.047272,0.16,500000,5.5,0.7659,0.01119,68.44504021447722
ag10,0.016582,0.326,0.047272,0.16,500000,6.0,0.8192,0.01256,65.22292993630573
ag10,0.016582,0.326,0.047272,0.16,500000,6.5,0.8718,0.01408,61.91761363636363
ag10,0.016582,0.326,0.047272,0.16,500000,7.0,0.9219,0.01624,56.76724137931034
ag10,0.016582,0.326,0.047272,0.16,500000,7.5,0.9723,0.0181,53.71823204419889
ag10,0.016582,0.326,0.047272,0.16,500000,8.0,1.0202,0.02041,49.985301322880936
ag10,0.016582,0.326,0.047272,0.16,500000,8.5,1.0605,0.02526,41.9833729216152
ag10,0.016582,0.326,0.047272,0.16,500000,9.0,1.0979,0.03017,36.39045409347034
ag10,0.016582,0.326,0.047272,0.16,500000,9.5,1.1166,0.03836,29.10844629822732
ag10,0.016582,0.326,0.047272,0.16,500000,10.0,1.1059,0.04945,22.364004044489384
ag11,0.022861,0.291,0.058123,0.26,500000,0.5,0.2802,0.00522,53.67816091954023
ag11,0.022861,0.291,0.058123,0.26,500000,1.0,0.334,0.00557,59.964093357271096
ag11,0.022861,0.291,0.058123,0.26,500000,1.5,0.3883,0.00595,65.26050420168066
ag11,0.022861,0.291,0.058123,0.26,500000,2.0,0.4428,0.00638,69.40438871473354
ag11,0.022861,0.291,0.058123,0.26,500000,2.5,0.4973,0.00688,72.28197674418605
ag11,0.022861,0.291,0.058123,0.26,500000,3.0,0.5518,0.00744,74.16666666666666
ag11,0.022861,0.291,0.058123,0.26,500000,3.5,0.6063,0.00801,75.69288389513108
ag11,0.022861,0.291,0.058123,0.26,500000,4.0,0.6607,0.0086,76.82558139534883
ag11,0.022861,0.291,0.058123,0.26,500000,4.5,0.7149,0.00922,77.53796095444685
ag11,0.022861,0.291,0.058123,0.26,500000,5.0,0.7688,0.00989,77.7350859453994
ag11,0.022861,0.291,0.058123,0.26,500000,5.5,0.8223,0.01064,77.28383458646617
ag11,0.022861,0.291,0.058123,0.26,500000,6.0,0.8753,0.01146,76.37870855148341
ag11,0.022861,0.291,0.058123,0.26,500000,6.5,0.9277,0.01237,74.99595796281325
ag11,0.022861,0.291,0.058123,0.26,500000,7.0,0.9798,0.01329,73.72460496613995
ag11,0.022861,0.291,0.058123,0.26,500000,7.5,1.0306,0.01442,71.47018030513176
ag11,0.022861,0.291,0.058123,0.26,500000,8.0,1.0788,0.01597,67.55165936130244
ag11,0.022861,0.291,0.058123,0.26,500000,8.5,1.1294,0.01695,66.63126843657817
ag11,0.022861,0.291,0.058123,0.26,500000,9.0,1.1734,0.01913,61.33821223209618
ag11,0.022861,0.291,0.058123,0.26,500000,9.5,1.2226,0.0201,60.82587064676616
ag11,0.022861,0.291,0.058123,0.26,500000,10.0,1.2652,0.0221,57.248868778280546
ag12,0.018488,0.428,0.062365,0.219,500000,0.0,0.226,0.00466,48.49785407725322
ag12,0.018488,0.428,0.062365,0.219,500000,0.5,0.2782,0.00501,55.528942115768466
ag12,0.018488,0.428,0.062365,0.219,500000,1.0,0.3319,0.00539,61.57699443413729
ag12,0.018488,0.428,0.062365,0.219,500000,1.5,0.3862,0.0058,66.58620689655173
ag12,0.018488,0.428,0.062365,0.219,500000,2.0,0.441,0.00623,70.78651685393258
ag12,0.018488,0.428,0.062365,0.219,500000,2.5,0.4959,0.00668,74.23652694610779
ag12,0.018488,0.428,0.062365,0.219,500000,3.0,0.5507,0.00717,76.80613668061366
ag12,0.018488,0.428,0.062365,0.219,500000,3.5,0.6054,0.00771,78.52140077821012
ag12,0.018488,0.428,0.062365,0.219,500000,4.0,0.6599,0.00831,79.41034897713598
ag12,0.018488,0.428,0.062365,0.219,500000,4.5,0.714,0.009,79.33333333333334
ag12,0.018488,0.428,0.062365,0.219,500000,5.0,0.7677,0.00977,78.57727737973389
ag12,0.018488,0.428,0.062365,0.219,500000,5.5,0.8209,0.01066,77.00750469043152
ag12,0.018488,0.428,0.062365,0.219,500000,6.0,0.8736,0.01166,74.92281303602059
ag12,0.018488,0.428,0.062365,0.219,500000,6.5,0.925,0.013,71.15384615384616
ag12,0.018488,0.428,0.062365,0.219,500000,7.0,0.9763,0.01431,68.22501747030049
ag12,0.018488,0.428,0.062365,0.219,500000,7.5,1.0242,0.01655,61.88519637462236
ag12,0.018488,0.428,0.062365,0.219,500000,8.0,1.0645,0.02054,51.82570593962999
ag12,0.018488,0.428,0.062365,0.219,500000,8.5,1.1042,0.02465,44.795131845841794
ag12,0.018488,0.428,0.062365,0.219,500000,9.0,1.1442,0.02794,40.95204008589836
ag12,0.018488,0.428,0.062365,0.219,500000,9.5,1.1703,0.03376,34.665284360189574
ag12,0.018488,0.428,0.062365,0.219,500000,10.0,1.1796,0.041,28.770731707317072
ag13,0.019747,0.418,0.058349,0.21,500000,0.0,0.2407,0.00456,52.78508771929825
ag13,0.019747,0.418,0.058349,0.21,500000,0.5,0.2917,0.00489,59.65235173824131
ag13,0.019747,0.418,0.058349,0.21,500000,1.0,0.3447,0.0053,65.0377358490566
ag13,0.019747,0.418,0.058349,0.21,500000,1.5,0.3985,0.00573,69.54624781849914
ag13,0.019747,0.418,0.058349,0.21,500000,2.0,0.4529,0.00618,73.28478964401295
ag13,0.019747,0.418,0.058349,0.21,500000,2.5,0.5074,0.00667,76.07196401799101
ag13,0.019747,0.418,0.058349,0.21,500000,3.0,0.562,0.00719,78.16411682892907
ag13,0.019747,0.418,0.058349,0.21,500000,3.5,0.6164,0.00777,79.33075933075932
ag13,0.019747,0.418,0.058349,0.21,500000,4.0,0.6706,0.00841,79.73840665873958
ag13,0.019747,0.418,0.058349,0.21,500000,4.5,0.7245,0.00911,79.52799121844127
ag13,0.019747,0.418,0.058349,0.21,500000,5.0,0.778,0.00989,78.66531850353894
ag13,0.019747,0.418,0.058349,0.21,500000,5.5,0.8311,0.01077,77.16805942432683
ag13,0.019747,0.418,0.058349,0.21,500000,6.0,0.8838,0.01172,75.40955631399318
ag13,0.019747,0.418,0.058349,0.21,500000,6.5,0.9354,0.01295,72.23166023166023
ag13,0.019747,0.418,0.058349,0.21,500000,7.0,0.9864,0.01431,68.9308176100629
ag13,0.019747,0.418,0.058349,0.21,500000,7.5,1.0343,0.01653,62.571082879612824
ag13,0.019747,0.418,0.058349,0.21,500000,8.0,1.0729,0.02108,50.8965844402277
ag13,0.019747,0.418,0.058349,0.21,500000,8.5,1.1171,0.0238,46.936974789915965
ag13,0.019747,0.418,0.058349,0.21,500000,9.0,1.1549,0.02776,41.60302593659942
ag13,0.019747,0.418,0.058349,0.21,500000,9.5,1.1829,0.03309,35.747960108794196
ag13,0.019747,0.418,0.058349,0.21,500000,10.0,1.1971,0.03945,30.3447401774398
ag14,0.021039,0.405,0.053707,0.199,500000,0.0,0.2528,0.00447,56.554809843400456
ag14,0.021039,0.405,0.053707,0.199,500000,0.5,0.3032,0.00479,63.29853862212944
ag14,0.021039,0.405,0.053707,0.199,500000,1.0,0.3552,0.00522,68.04597701149426
ag14,0.021039,0.405,0.053707,0.199,500000,1.5,0.4085,0.00571,71.54115586690017
ag14,0.021039,0.405,0.053707,0.199,500000,2.0,0.4624,0.00622,74.34083601286173
ag14,0.021039,0.405,0.053707,0.199,500000,2.5,0.5168,0.00674,76.67655786350149
ag14,0.021039,0.405,0.053707,0.199,500000,3.0,0.5712,0.00729,78.35390946502059
ag14,0.021039,0.405,0.053707,0.199,500000,3.5,0.6256,0.00785,79.69426751592358
ag14,0.021039,0.405,0.053707,0.199,500000,4.0,0.6798,0.00847,80.25974025974025
ag14,0.021039,0.405,0.053707,0.199,500000,4.5,0.7336,0.00917,80.00000000000001
ag14,0.021039,0.405,0.053707,0.199,500000,5.0,0.7871,0.00995,79.10552763819095
ag14,0.021039,0.405,0.053707,0.199,500000,5.5,0.8402,0.01082,77.65249537892791
ag14,0.021039,0.405,0.053707,0.199,500000,6.0,0.893,0.01172,76.19453924914676
ag14,0.021039,0.405,0.053707,0.199,500000,6.5,0.945,0.0128,73.82812499999999
ag14,0.021039,0.405,0.053707,0.199,500000,7.0,0.9958,0.01421,70.0774102744546
ag14,0.021039,0.405,0.053707,0.199,500000,7.5,1.044,0.0164,63.65853658536585
ag14,0.021039,0.405,0.053707,0.199,500000,8.0,1.0834,0.02084,51.98656429942418
ag14,0.021039,0.405,0.053707,0.199,500000,8.5,1.129,0.02313,48.811067877215734
ag14,0.021039,0.405,0.053707,0.199,500000,9.0,1.1664,0.02726,42.78796771826853
ag14,0.021039,0.405,0.053707,0.199,500000,9.5,1.1965,0.03206,37.32064878353088
ag14,0.021039,0.405,0.053707,0.199,500000,10.0,1.2038,0.03992,30.155310621242485
ag16,0.018848,0.469,0.071145,0.233,500000,0.0,0.2366,0.00486,48.68312757201647
ag16,0.018848,0.469,0.071145,0.233,500000,0.5,0.2906,0.00514,56.53696498054476
ag16,0.018848,0.469,0.071145,0.233,500000,1.0,0.3452,0.00546,63.223443223443226
ag16,0.018848,0.469,0.071145,0.233,500000,1.5,0.4002,0.00581,68.88123924268503
ag16,0.018848,0.469,0.071145,0.233,500000,2.0,0.4552,0.00619,73.53796445880452
ag16,0.018848,0.469,0.071145,0.233,500000,2.5,0.5104,0.0066,77.33333333333333
ag16,0.018848,0.469,0.071145,0.233,500000,3.0,0.5654,0.00707,79.97171145685998
ag16,0.018848,0.469,0.071145,0.233,500000,3.5,0.6201,0.0076,81.59210526315789
ag16,0.018848,0.469,0.071145,0.233,500000,4.0,0.6746,0.00819,82.36874236874237
ag16,0.018848,0.469,0.071145,0.233,500000,4.5,0.7287,0.00888,82.0608108108108
ag16,0.018848,0.469,0.071145,0.233,500000,5.0,0.7824,0.00963,81.24610591900311
ag16,0.018848,0.469,0.071145,0.233,500000,5.5,0.8354,0.01054,79.25996204933585
