Airfoil_Name,Camber,Camber_Location,Thickness,Thickness_Location,Reynolds_Number,Alpha,Cl,Cd,peak_LD_2d,aoa_2d,peak_LD
ma409sm,0.033271,0.493,0.06694,0.238,500000.0,0.0,0.4446,0.012722358567252411,83.57142857142857,0.0,34.9463503681156
hq208,0.01966,0.5,0.079761,0.35,500000.0,1.0,0.381,0.010916021339802968,69.52554744525548,1.0,34.902826601370215
sa7025,0.03607,0.445,0.080068,0.287,500000.0,0.0,0.4371,0.0125547228378569,80.94444444444444,0.0,34.81558339798549
sd7037,0.029901,0.399,0.092124,0.291,500000.0,0.0,0.369,0.01059898734266719,67.0909090909091,0.0,34.81464672710352
ag16,0.018848,0.469,0.071145,0.233,500000.0,1.0,0.3452,0.009922443964672293,63.223443223443226,1.0,34.789816020029384
s4110,0.031219,0.454,0.083818,0.285,500000.0,0.0,0.3993,0.011490762849998566,72.33695652173913,0.0,34.74965110780698
sa7038,0.03265,0.425,0.092048,0.285,500000.0,0.0,0.4027,0.011592876661486326,72.95289855072464,0.0,34.73684847677571
goe564,0.026154,0.4,0.082003,0.3,500000.0,0.0,0.3648,0.010503573420688014,66.08695652173914,0.0,34.73103727551271
mh32,0.024004,0.444,0.086976,0.301,500000.0,1.0,0.4196,0.012113289733017023,76.01449275362319,1.0,34.63964036592819
hq108,0.009852,0.5,0.07972,0.35,500000.0,2.0,0.38,0.010977523242934044,68.2226211849192,2.0,34.61618723919318
ds19,0.02,0.423,0.085,0.279,500000.0,1.0,0.3927,0.011345013504462107,70.50269299820467,1.0,34.61432635981854
usa50,0.019301,0.4,0.070401,0.3,500000.0,1.0,0.4393,0.012696926005545516,80.31078610603291,1.0,34.598925740618725
sa7036,0.028182,0.41,0.092021,0.281,500000.0,0.0,0.3376,0.009778114655710431,61.27041742286752,0.0,34.52608318545755
ag52,0.01768,0.41,0.083519,0.282,500000.0,1.0,0.3527,0.010228457320173176,63.321364452423694,1.0,34.482228253950275
ag24,0.022298,0.455,0.084142,0.26,500000.0,1.0,0.4016,0.011649745096121223,71.58645276292334,1.0,34.47285727596843
pfcm,0.013072,0.5,0.081931,0.4,500000.0,1.0,0.3062,0.008891086866490561,56.91449814126394,1.0,34.43898418696493
s6062,0.016113,0.388,0.079478,0.313,500000.0,1.0,0.3105,0.009020392435817742,57.393715341959336,1.0,34.42200571752083
s2048,0.019324,0.558,0.086298,0.351,500000.0,1.0,0.4,0.01164171550463606,70.79646017699116,1.0,34.35919730564698
goe598,0.00974,0.498,0.06544,0.398,500000.0,2.0,0.3433,0.009993456073188607,61.52329749103943,2.0,34.35248001149851
hq258,0.024716,0.5,0.079691,0.35,500000.0,1.0,0.4594,0.013373385817750081,83.98537477148079,1.0,34.35180935184361
ag23,0.022012,0.454,0.088997,0.274,500000.0,1.0,0.4003,0.011660706448232985,70.7243816254417,1.0,34.328966411864336
goe622,0.023782,0.4,0.079999,0.3,500000.0,1.0,0.3937,0.011474462786167393,69.43562610229277,1.0,34.310974494998604
ag04,0.017523,0.394,0.064235,0.225,500000.0,1.0,0.3,0.008750339971357783,55.76208178438661,1.0,34.28438220480355
ds21,0.017999,0.411,0.086,0.286,500000.0,1.0,0.354,0.010332861376118576,62.76595744680851,1.0,34.25962926572969
goe795sm,0.02442,0.435,0.08028,0.309,500000.0,0.0,0.4049,0.011819411666307556,71.28521126760563,0.0,34.25720428658974
ag54,0.018689,0.386,0.075339,0.262,500000.0,1.0,0.3359,0.009815238314041476,60.08944543828264,1.0,34.22229692777489
goe795,0.024431,0.435,0.08006,0.309,500000.0,0.0,0.3733,0.01090851794768027,65.60632688927944,0.0,34.22096400174905
s9037,0.035065,0.4,0.089998,0.285,500000.0,0.0,0.411,0.012025791092241424,72.10526315789473,0.0,34.17654579623966
sd7080,0.024513,0.399,0.091558,0.297,500000.0,0.0,0.3001,0.00880258723915424,55.26703499079189,0.0,34.09224945424498
ah21-9,0.01734,0.559,0.070011,0.352,500000.0,1.0,0.4156,0.012258182713280224,71.77892918825562,1.0,33.903883611536386
s2055,0.016721,0.413,0.0799,0.348,500000.0,1.0,0.3532,0.010421674670094184,61.42608695652174,1.0,33.890906325596134
e64,0.033171,0.515,0.084445,0.28,500000.0,0.0,0.473,0.013968253238354506,84.6153846153846,0.0,33.86250176945679
hq1585,0.014734,0.5,0.085601,0.35,500000.0,2.0,0.4163,0.012299989936341566,71.65232358003442,2.0,33.84555614716395
sa7035,0.025788,0.413,0.091992,0.298,500000.0,0.0,0.3021,0.00892768987761539,54.82758620689655,0.0,33.83854100459544
goe595,0.029261,0.4,0.095505,0.3,500000.0,0.0,0.4033,0.01192098662159909,69.17667238421956,0.0,33.8310924088514
naca64208,0.010846,0.5,0.079849,0.4,500000.0,2.0,0.3743,0.011076514238375683,64.20240137221269,2.0,33.79221946045088
sd2083,0.028149,0.448,0.089615,0.352,500000.0,0.0,0.3688,0.01092346148304304,63.2590051457976,0.0,33.76219164341854
naca1408,0.009842,0.4,0.080033,0.299,500000.0,1.0,0.2698,0.008015932466763052,51.001890359168236,1.0,33.657968192557526
rg15,0.017628,0.397,0.089237,0.302,500000.0,1.0,0.3718,0.011046663942469292,63.33901192504259,1.0,33.65722012874871
goe563,0.022145,0.498,0.088978,0.301,500000.0,1.0,0.4624,0.013746945130603334,80.5574912891986,1.0,33.63656402254847
sd5060,0.022977,0.435,0.094592,0.249,500000.0,1.0,0.367,0.01091386356002454,62.52129471890971,1.0,33.62695510911947
sd2030,0.022298,0.457,0.085624,0.352,500000.0,1.0,0.4423,0.01316596906283715,75.73630136986303,1.0,33.59418496952539
s9000,0.023706,0.422,0.090079,0.282,500000.0,0.0,0.327,0.009734300919970183,57.068062827225134,0.0,33.592550989373116
s3016,0.020942,0.383,0.095216,0.289,500000.0,1.0,0.3619,0.01077465391440092,61.652470187393526,1.0,33.58808578680199
goe602,0.034118,0.4,0.099504,0.3,500000.0,0.0,0.448,0.013346007929015474,76.84391080617496,0.0,33.568090352022494
s3014,0.025427,0.386,0.09461,0.294,500000.0,1.0,0.4029,0.012008910318999495,67.94266441821247,1.0,33.550088167663745
hq308,0.029513,0.5,0.079791,0.35,500000.0,0.0,0.4119,0.012283525619865728,69.46037099494097,0.0,33.53271794653549
hq159,0.014761,0.5,0.08967,0.35,500000.0,2.0,0.4199,0.012522721067703541,70.92905405405405,2.0,33.53105109742756
s4053,0.029926,0.45,0.089216,0.309,500000.0,0.0,0.3995,0.011916745577929946,67.25589225589226,0.0,33.52425352941008
jx-gs-10,0.01467,0.36,0.074098,0.264,500000.0,1.0,0.3024,0.009054481112657674,53.71225577264654,1.0,33.39782768747081
sa7026,0.038486,0.471,0.090035,0.323,500000.0,0.0,0.4701,0.014075832725929353,81.05172413793105,0.0,33.39766883802335
sd7084,0.022962,0.389,0.096292,0.295,500000.0,1.0,0.4284,0.012842743344153251,71.75879396984925,1.0,33.35735897852635
waspsm,0.030037,0.379,0.093539,0.271,500000.0,0.0,0.4034,0.012094007569660083,67.23333333333333,0.0,33.35536195727204
s3024,0.034979,0.447,0.098494,0.307,500000.0,0.0,0.4203,0.01260530666612103,70.16694490818031,0.0,33.34309994453605
goe507,0.028624,0.4,0.086503,0.3,500000.0,1.0,0.4538,0.013621878606790903,76.78510998307952,1.0,33.314054037580945
cr001sm,0.040584,0.454,0.07333,0.271,500000.0,0.0,0.5314,0.015954852092647114,98.77323420074349,0.0,33.30648237377887
sd7043,0.035219,0.453,0.091385,0.281,500000.0,0.0,0.4418,0.013279415076344498,74.0033500837521,0.0,33.269537661113375
ag47ct02r,0.0131,0.331,0.049922,0.22,500000.0,2.0,0.3518,0.01057471327507496,59.225589225589225,2.0,33.268041491886805
hq159b,0.014518,0.5,0.089521,0.371,500000.0,2.0,0.4209,0.012654207532680404,69.91694352159467,2.0,33.26166406809714
m10,0.01887,0.3,0.061892,0.3,500000.0,2.0,0.3827,0.01151463999181868,63.466003316749585,2.0,33.235950083712034
naca2410,0.019496,0.4,0.100064,0.299,500000.0,1.0,0.3906,0.0117534138008056,64.66887417218543,1.0,33.232897830350154
goe10k,0.014169,0.6,0.0385,0.5,500000.0,1.0,0.2926,0.008806120530735595,52.25000000000001,1.0,33.226890204233726
hq109,0.00986,0.5,0.0898,0.35,500000.0,2.0,0.3505,0.010550523422958851,58.907563025210074,2.0,33.22110059841028
goe566,0.024746,0.4,0.086502,0.3,500000.0,1.0,0.4617,0.013922720999300309,77.72727272727273,1.0,33.1616212106242
sc20406,0.006298,0.79,0.060201,0.37,500000.0,1.0,0.2759,0.008330588984390347,50.346715328467155,1.0,33.11890678041788
s6061,0.017823,0.388,0.09012,0.311,500000.0,2.0,0.439,0.013257058773556037,72.68211920529801,2.0,33.11443416662502
naca64a210,0.012985,0.55,0.099915,0.399,500000.0,2.0,0.398,0.012021948142477316,65.35303776683088,2.0,33.10611518891361
hq209,0.019648,0.5,0.089731,0.35,500000.0,1.0,0.3837,0.011593340309085888,63.10855263157894,1.0,33.096587331201526
usa49,0.015809,0.3,0.072499,0.3,500000.0,1.0,0.2803,0.008472235268891508,50.6871609403255,1.0,33.084539215903284
c141f,0.022765,0.451,0.099967,0.402,500000.0,1.0,0.4397,0.013300092800366953,72.55775577557755,1.0,33.05991970130228
sd6080,0.037353,0.4,0.091878,0.309,500000.0,0.0,0.4008,0.012125706333516622,65.59738134206219,0.0,33.0537445799879
mh43,0.017794,0.382,0.084984,0.29,500000.0,2.0,0.3944,0.011935121846745157,64.54991816693943,2.0,33.04532664721452
e222,0.024887,0.504,0.101733,0.311,500000.0,0.0,0.3839,0.011619089360112588,62.9344262295082,0.0,33.04045507369091
sd8040,0.026374,0.395,0.100007,0.293,500000.0,1.0,0.4476,0.013552592478000593,73.98347107438016,1.0,33.02689140299703
mh22,0.018068,0.334,0.07198,0.27,500000.0,2.0,0.3874,0.011730182707553462,63.40425531914894,2.0,33.02591354783758
mh64,0.014904,0.375,0.085938,0.269,500000.0,2.0,0.3484,0.010555561042152604,57.97004991680532,2.0,33.00629863336478
goe599,0.015039,0.597,0.099844,0.302,500000.0,1.0,0.3345,0.01014009091089128,56.21848739495798,1.0,32.98786992537906
s7075,0.03053,0.468,0.089991,0.29,500000.0,1.0,0.5254,0.015937400407198384,93.82142857142857,1.0,32.96648051602535
kc135d,0.018185,0.35,0.089919,0.4,500000.0,1.0,0.3522,0.01069525869436312,58.214876033057855,1.0,32.93047976348858
goe565,0.027353,0.5,0.084004,0.3,500000.0,0.0,0.3448,0.010472108255426795,57.27574750830564,0.0,32.92555726028899
ag44ct02r,0.019424,0.344,0.072902,0.246,500000.0,1.0,0.3163,0.00960653319965633,53.97610921501707,1.0,32.92550948674341
s4061,0.039038,0.442,0.096294,0.283,500000.0,0.0,0.4124,0.01252895990452345,66.94805194805195,0.0,32.915741062520866
sg6041,0.02024,0.385,0.099955,0.349,500000.0,1.0,0.3775,0.01147660567270339,61.48208469055375,1.0,32.89300083716106
e224,0.017665,0.492,0.101742,0.3,500000.0,1.0,0.3468,0.010543906635964375,57.41721854304635,1.0,32.89103479132625
rg14,0.015831,0.36,0.084753,0.31,500000.0,1.0,0.3062,0.009311086866490561,52.79310344827587,1.0,32.88552715601608
goe546,0.034614,0.5,0.104012,0.3,500000.0,0.0,0.4357,0.013258964106547992,70.84552845528455,0.0,32.86078735101393
giiij,0.013304,0.25,0.08486,0.35,500000.0,2.0,0.3799,0.01156467755255156,61.672077922077925,2.0,32.85002960728301
s3025,0.035925,0.401,0.093858,0.289,500000.0,0.0,0.4273,0.013017494456321697,69.14239482200648,0.0,32.82505719005626
goe100,0.035621,0.399,0.065735,0.2,500000.0,1.0,0.5165,0.01574014641582279,89.82608695652173,1.0,32.814180145159774
ag46c03,0.017079,0.316,0.060236,0.232,500000.0,3.0,0.3933,0.01199267408591202,63.435483870967744,3.0,32.79502112560664
hq259,0.024705,0.5,0.089671,0.35,500000.0,1.0,0.4528,0.013817928048812756,73.74592833876221,1.0,32.76902285208416
mh117,0.027347,0.446,0.098045,0.291,500000.0,1.0,0.4531,0.0138581053520796,73.43598055105349,1.0,32.69566715568417
hq358,0.034523,0.5,0.079692,0.35,500000.0,0.0,0.4808,0.014706854527960198,79.47107438016529,0.0,32.69223878470536
ag46ct02r,0.016942,0.33,0.060839,0.233,500000.0,2.0,0.3904,0.0119475643885442,62.56410256410257,2.0,32.67611601024985
rg12a,0.017169,0.344,0.089881,0.344,500000.0,1.0,0.3602,0.011028683600638257,58.379254457050244,1.0,32.66028957247031
rg12a189,0.017169,0.344,0.089881,0.344,500000.0,1.0,0.3602,0.011028683600638257,58.379254457050244,1.0,32.66028957247031
giiig,0.012615,0.299,0.082883,0.449,500000.0,2.0,0.3475,0.010642106846291924,56.78104575163399,2.0,32.65330869338912
dae51,0.040305,0.449,0.093825,0.307,500000.0,0.0,0.4719,0.014459329930989733,77.1078431372549,0.0,32.636367124358074
supermarine371ii,0.009219,0.5,0.0836,0.5,500000.0,3.0,0.4055,0.012427620489726149,64.67304625199363,3.0,32.62893329702374
giiif,0.012676,0.299,0.082642,0.449,500000.0,2.0,0.3443,0.010559205470569781,56.25816993464053,2.0,32.60661997340803
naca63209,0.010787,0.5,0.090009,0.35,500000.0,2.0,0.3894,0.011948362265103481,62.10526315789474,2.0,32.59024051666779
fxm2,0.046231,0.309,0.084006,0.195,500000.0,1.0,0.6552,0.020106036334420752,162.58064516129033,1.0,32.58722848711474
mh62,0.016469,0.366,0.092978,0.269,500000.0,2.0,0.358,0.010989513912101099,57.83521809369951,2.0,32.576509103445275
fx69h083,0.024112,0.333,0.084001,0.333,500000.0,1.0,0.3422,0.010505218241461915,55.915032679738566,1.0,32.57428757161919
mh42,0.018952,0.363,0.089405,0.289,500000.0,2.0,0.4182,0.012839365964581413,66.4864864864865,2.0,32.57170183898828
mh23,0.012814,0.39,0.079913,0.375,500000.0,2.0,0.4924,0.015119611998820804,81.52317880794702,2.0,32.56697328201298
e850,0.018263,0.709,0.07995,0.366,500000.0,2.0,0.513,0.015755211110247296,86.94915254237289,2.0,32.56065541808839
ag455ct02r,0.018347,0.319,0.064743,0.222,500000.0,1.0,0.293,0.009004892402234382,50.604490500863555,1.0,32.53786796245316
coanda3,0.028654,0.401,0.070011,0.301,500000.0,1.0,0.456,0.014016833469825024,73.19422150882825,1.0,32.532312021945735
c5d,0.014039,0.6,0.110545,0.4,500000.0,2.0,0.4279,0.013156709887945064,67.92063492063492,2.0,32.523328677488486
s7012,0.020226,0.376,0.087521,0.277,500000.0,1.0,0.3664,0.011267384844457913,58.71794871794872,1.0,32.518637204463744
goe515,0.027717,0.4,0.084501,0.3,500000.0,1.0,0.4951,0.015239458320472278,81.6996699669967,1.0,32.48803137148884
fx84w097,0.028141,0.371,0.0974,0.339,500000.0,1.0,0.4035,0.012427029266685515,63.744075829383895,1.0,32.46954612730383
ag45ct02r,0.01853,0.318,0.068961,0.235,500000.0,1.0,0.2949,0.00908672244058334,50.58319039451115,1.0,32.45394606562543
hq309,0.029478,0.5,0.089791,0.35,500000.0,0.0,0.4144,0.012770884284263864,65.36277602523658,0.0,32.448810182284625
s7055,0.035717,0.386,0.105009,0.318,500000.0,0.0,0.4032,0.012437966422502533,63.496062992125985,0.0,32.41687477709686
s2046,0.025862,0.551,0.090286,0.286,500000.0,0.0,0.3866,0.011936994768550521,60.97791798107255,0.0,32.386711018634706
vr8,0.012239,0.35,0.0815,0.35,500000.0,2.0,0.3965,0.012247319224023254,62.34276729559748,2.0,32.374431722352824
be50sm,0.039526,0.454,0.07316,0.238,500000.0,0.0,0.4985,0.015405967401637164,81.72131147540983,0.0,32.357591510094025
s2050,0.012885,0.402,0.089309,0.299,500000.0,1.0,0.3533,0.0109243203869717,56.528,1.0,32.34068459044318
raf28,0.019084,0.4,0.098201,0.3,500000.0,1.0,0.3991,0.012344783117924939,62.554858934169275,1.0,32.329446065398805
ah21-7,0.022187,0.56,0.089785,0.352,500000.0,1.0,0.4462,0.01380573276896771,70.26771653543307,1.0,32.31990706085234
clarkv,0.033282,0.5,0.116404,0.3,500000.0,0.0,0.4369,0.013518176888668083,68.58712715855573,0.0,32.319446889782995
goe344,0.026373,0.399,0.072036,0.2,500000.0,1.0,0.3876,0.011995987181948579,60.84772370486657,1.0,32.31080478172367
n64108,0.005428,0.5,0.079843,0.4,500000.0,2.0,0.29,0.00897939546212433,49.74271012006861,2.0,32.29616082989537
ag37,0.021839,0.354,0.077419,0.263,500000.0,0.0,0.3793,0.011747619138509862,59.638364779874216,0.0,32.287393345653925
ag11,0.022861,0.291,0.058123,0.26,500000.0,2.0,0.4428,0.013722541773440755,69.40438871473354,2.0,32.26807447997832
c5b,0.012606,0.7,0.115502,0.4,500000.0,2.0,0.4147,0.012860198780498041,64.59501557632399,2.0,32.24677993538291
s3010,0.027942,0.384,0.103192,0.25,500000.0,1.0,0.4121,0.012779697086835504,64.19003115264798,1.0,32.24646071028619
e174,0.038272,0.402,0.08923,0.312,500000.0,0.0,0.4033,0.01251098662159909,62.81931464174454,0.0,32.23566711387405
b707d,0.018167,0.3,0.0897,0.4,500000.0,1.0,0.3401,0.010551561305671243,54.67845659163987,1.0,32.23219674771765
c5c,0.014598,0.65,0.111035,0.4,500000.0,2.0,0.4307,0.013366738409259973,67.08722741433021,2.0,32.22177219400264
n9,0.0262,0.402,0.084618,0.298,500000.0,0.0,0.4621,0.014346558866258265,72.7716535433071,0.0,32.20981451425366
sd7003,0.014793,0.354,0.085111,0.244,500000.0,1.0,0.2982,0.00926001722394046,50.286677908937605,1.0,32.20296385940257
rc08n1,0.015413,0.25,0.080164,0.375,500000.0,3.0,0.4421,0.013729345221346775,68.97035881435258,3.0,32.20109865928715
s4062,0.04148,0.456,0.095458,0.317,500000.0,0.0,0.4691,0.014570661355917138,74.10742496050554,0.0,32.194832378661985
hq2195,0.020318,0.55,0.094922,0.35,500000.0,1.0,0.4196,0.013033289733017024,65.15527950310558,1.0,32.19448110150072
s8065,0.011875,0.525,0.110001,0.378,500000.0,3.0,0.4557,0.014156591006652067,71.42633228840126,3.0,32.18995306044162
rg12,0.013855,0.358,0.092659,0.309,500000.0,2.0,0.404,0.012552148986279245,62.732919254658384,2.0,32.18572377061589
e387,0.037836,0.401,0.090706,0.311,500000.0,0.0,0.3988,0.012395819137047785,61.92546583850931,0.0,32.172137685366316
df101,0.023283,0.435,0.110021,0.291,500000.0,1.0,0.3899,0.012122953964768365,60.63763608087092,1.0,32.16212823484477
mh38,0.039169,0.453,0.096923,0.316,500000.0,0.0,0.426,0.013245953518245835,66.04651162790698,0.0,32.160765128248414
naca64a410,0.025965,0.55,0.099928,0.399,500000.0,1.0,0.4635,0.014415085770130315,72.7629513343799,1.0,32.153814926333936
hq2590sm,0.024508,0.55,0.090323,0.35,500000.0,0.0,0.3723,0.011580596553428666,58.26291079812207,0.0,32.148602905069964
hq259b,0.024508,0.55,0.090323,0.35,500000.0,0.0,0.3723,0.011580596553428666,58.26291079812207,0.0,32.148602905069964
goe587,0.029272,0.3,0.058007,0.4,500000.0,1.0,0.4488,0.013962874781338262,69.90654205607476,1.0,32.142378058122574
fx80080,0.02199,0.5,0.0806,0.402,500000.0,1.0,0.4431,0.013792494387376175,68.80434782608695,1.0,32.12616859250312
c141e,0.017406,0.5,0.105114,0.402,500000.0,1.0,0.3834,0.011944722349779127,59.53416149068323,1.0,32.09785784657352
cal1215j,0.022852,0.448,0.117256,0.299,500000.0,1.0,0.3994,0.012443753839482036,61.73106646058732,1.0,32.09642404953141
sd7090,0.018718,0.387,0.099904,0.293,500000.0,1.0,0.3522,0.01097525869436312,55.639810426540286,1.0,32.09035976353701
hq1510,0.014748,0.5,0.099631,0.35,500000.0,2.0,0.4256,0.013263197155936464,65.67901234567901,2.0,32.08879390060985
cal2263m,0.035525,0.425,0.117206,0.319,500000.0,0.0,0.4287,0.01336237240545142,66.15740740740742,0.0,32.08262627264483
mh60,0.018222,0.366,0.100851,0.269,500000.0,2.0,0.3681,0.011474144566738311,57.51562499999999,2.0,32.08082291965035
ag36,0.022435,0.368,0.081783,0.276,500000.0,0.0,0.3994,0.012453753839482036,61.635802469135804,0.0,32.07065155999674
davis,0.036127,0.4,0.112506,0.3,500000.0,0.0,0.4255,0.013270009937770217,65.56240369799691,0.0,32.06478382423107
bacxxx,0.01333,0.15,0.113099,0.35,500000.0,1.0,0.3178,0.009912152075920297,51.84339314845025,1.0,32.06165498328412
s3021,0.029137,0.392,0.094705,0.299,500000.0,1.0,0.4574,0.01427472075806695,71.02484472049689,1.0,32.042658329516776
df102,0.022877,0.435,0.110025,0.291,500000.0,1.0,0.3908,0.012199266208924753,60.30864197530864,1.0,32.03471367106474
ssca09,0.011408,0.172,0.09,0.377,500000.0,2.0,0.2927,0.009138312375163635,49.35919055649241,2.0,32.02998409153843
s4083,0.034675,0.36,0.080049,0.247,500000.0,0.0,0.4308,0.013449964573577,66.27692307692308,0.0,32.02982414141997
goe377,0.03822,0.4,0.064502,0.3,500000.0,1.0,0.5633,0.017592578828380306,98.65148861646236,1.0,32.019182946123045
rc08b3,0.010872,0.341,0.08,0.378,500000.0,2.0,0.3774,0.011793778706431859,58.42105263157895,2.0,31.999922110983906
rg149,0.015235,0.36,0.090001,0.31,500000.0,1.0,0.2956,0.009242201663107349,49.5142378559464,1.0,31.983721062911258
ag45c03,0.020291,0.305,0.069266,0.232,500000.0,2.0,0.3092,0.009670223773769679,50.77175697865353,2.0,31.974441050547334
eh1070,0.009966,0.259,0.07,0.287,500000.0,2.0,0.3195,0.009992723854013282,51.78282009724473,2.0,31.97326421380916
goe548,0.022882,0.5,0.119001,0.4,500000.0,1.0,0.417,0.013051833858660373,63.76146788990825,1.0,31.949533262201705
clarkysm,0.035235,0.435,0.117242,0.309,500000.0,0.0,0.4239,0.013279116306273838,64.71755725190839,0.0,31.922304935285837
mh45,0.017077,0.321,0.098526,0.269,500000.0,2.0,0.3543,0.011100818748790955,55.359375,2.0,31.916564716326764
hq2010,0.019645,0.5,0.099701,0.35,500000.0,1.0,0.3858,0.012093854763271615,59.171779141104295,1.0,31.900498852661418
rg8,0.022147,0.605,0.108035,0.311,500000.0,0.0,0.3848,0.012064997163472414,59.01840490797546,0.0,31.89391549672367
mh44,0.015411,0.369,0.096598,0.279,500000.0,2.0,0.3994,0.012523753839482036,60.977099236641216,2.0,31.89139655083787
e176,0.032751,0.401,0.088278,0.305,500000.0,0.0,0.3294,0.01033329535082883,52.535885167464116,0.0,31.877536527936265
goe585,0.032714,0.4,0.082009,0.2,500000.0,1.0,0.5312,0.01667689359652808,86.93944353518822,1.0,31.852454830711952
hq359,0.034482,0.5,0.089702,0.35,500000.0,0.0,0.4827,0.01515540911538871,75.06998444790047,0.0,31.8500144948162
e184,0.011693,0.368,0.083279,0.321,500000.0,3.0,0.386,0.012119635270804716,59.02140672782875,3.0,31.84914326009833
mh70,0.030846,0.385,0.110769,0.293,500000.0,1.0,0.4559,0.0143234185664696,69.70948012232417,1.0,31.82899374785004
hq1010,0.009852,0.5,0.0996,0.35,500000.0,2.0,0.3559,0.011183371912304878,55.263975155279496,2.0,31.82403328717067
e226,0.009629,0.429,0.101878,0.286,500000.0,2.0,0.3441,0.010814049599378043,53.93416927899687,2.0,31.81971719639519
s4310,0.041648,0.398,0.108602,0.307,500000.0,0.0,0.435,0.01367613978977974,66.00910470409711,0.0,31.80722094732302
mrc20-700,0.029404,0.467,0.109117,0.382,500000.0,1.0,0.5345,0.0168085918778022,87.47954173486087,1.0,31.799213395494036
goe05k,0.015313,0.5,0.037,0.5,500000.0,1.0,0.2867,0.009018127376536655,48.26599326599327,1.0,31.791522566640108
dae41,0.030377,0.41,0.116848,0.315,500000.0,1.0,0.4358,0.013712227719086926,66.03030303030303,1.0,31.781852586460634
mh116,0.040794,0.464,0.098512,0.324,500000.0,0.0,0.5097,0.01603882673166135,80.77654516640254,0.0,31.77913250935181
s2091,0.039249,0.395,0.101116,0.26,500000.0,0.0,0.4078,0.012837670759137505,61.69440242057488,0.0,31.765887102980813
psu94097,0.040262,0.463,0.097026,0.327,500000.0,0.0,0.4873,0.01534250308152425,75.55038759689923,0.0,31.761440581805484
naca2411,0.024103,0.396,0.11008,0.299,500000.0,1.0,0.4505,0.014190125997467277,68.36115326251897,1.0,31.747427759303015
clarky,0.035016,0.42,0.117067,0.28,500000.0,0.0,0.3781,0.011913583198585775,57.63719512195122,0.0,31.736883328676722
e212,0.029164,0.584,0.105608,0.275,500000.0,0.0,0.4955,0.015624296803919508,77.06065318818041,0.0,31.713427248495368
